"","VIS_min","VIS_max","VIS_mean","VIS_mean_distribution","VIS_contrast","VIS_entropy","VIS_second_angular_momentum","IR_min","IR_max","IR_mean"
"1",3,30,3.79279855103366,0.0038,7.1375,0.5217,1.1414,234,251,248.9492
"2",3,97,12.2773,0.0295,173.4167,0.1014,2.8606,204,243,237.0938
"3",10,144,59.6563,0.0733,566.8209,0.0274,5.60687427017703,180,243.170177383236,216.4922
"4",2,153,23.4492,0.0514,595.8793,0.1139,6.20910434852103,161,241,227.7656
"5",2,119,12.082,0.0357,286.2708,0.1026,5.80373647724783,186,241,234.8555
"6",4,65,15.9688,0.0236,84.4083,0.0863,2.7662,227,246,241.2344
"7",2,95,15.2148,0.0368,258.8583,0.0902,2.78137626980594,209,253,244.6836
"8",6,139,33.9648,0.0713,631.9625,0.0302,6.2870376303672,184,240,224.0313
"9",42,159,101.8555,0.0615,375.9,0.0316,5.20214359720116,191,224,201.5898
"10",11,153,54.9297,0.0918,880.5958,0.0237,5.56915694036398,184,243,220.7422
"11",10,143,70.5547,0.0479,227.1,0.0378,5.58016109868949,178,245,206.1016
"12",2,120,16.082,0.0413,392.1208,0.0961,3.15426725570378,204,250,242.0039
"13",7,118,41.1797,0.0486,274.5833,0.0395,7.43004626763481,135,233,199.1094
"14",2,21,4.0586,0.0033,4.6417,0.4841,1.1516,240,255,249.8438
"15",7,97,20.2109,0.03,130.2333,0.0636,3.0171,197,246,237.8203
"16",5,144,27.0195,0.0591,538.9,0.0397,4.98443373318683,187,246,233.1328
"17",7,91,25.6641,0.0403,266.9459,0.065,6.96330607844885,192,237,225.2227
"18",5,176,53.1094,0.0987,1288.9708,0.0249,5.37503516728192,168,251,223.2227
"19",7,122,29.9023,0.0601,441.9375,0.0378,4.761260758492,197,246,232.6328
"20",47,221,125.4492,0.1125,1242.8458,0.0216,6.11443289341017,135,210,168.1211
"21",3,152,21.0352,0.0396,249.0417,0.0532,3.15829180606306,198,249,239.9805
"22",5,240,72.793,0.143,2208.5168,0.0177,6.9106122663902,168,249,216.6797
"23",4,71,15.0313,0.026,124.8333,0.0943,8.4288,210,241,235.0117
"24",6,167,65.9844,0.0916,917.9167,0.0229,6.71886678080793,159,240,204.5313
"25",7,135,36.2227,0.0585,425.4126,0.0343,5.83590496756411,179,242,225.8789
"26",4,195,53.8164,0.0879,1037.5459,0.027,4.70925724781291,186,250,226.6445
"27",5,130,31.7852,0.0509,407.8292,0.057,4.21297761277023,202,246,234.3242
"28",5,169,39.3125,0.072,868.6791,0.0431,7.21732413086465,77,237,203.2266
"29",5,103,10.2656,0.0127,74.0583,0.433,1.5578,197,249,245.4648
"30",5,56,9.1563,0.0101,32.6667,0.2477,5.6667,212,237,234.7891
"31",7,205,96.7656,0.0883,890.475,0.0241,6.8307829763794,155,239,189.6523
"32",7,171,73.6289,0.08,740.1833,0.0255,7.01235877212937,151,236,193.3711
"33",1,30,2.6094,0.0068,19.4958,0.3549,1.4974,236,250,248.3047
"34",4.49912587470809,177,43.0898,0.1078,1329.1333,0.0207,5.00392102158618,184,250,227.4492
"35",17,166,79.8828,0.0999,998.5709,0.0215,7.49588430746723,119,228,174.6563
"36",12,137,51.0352,0.072,584.0667,0.028,6.91095732245715,167,233,210.4688
"37",7,82,22.8125,0.038,205.9708,0.0563,6.081910609223,198,240,230.6133
"38",6,168,49.3633,0.075,718.3375,0.031,5.17703569432177,180,247,223.5664
"39",2,37,3.9688,0.0073,22.9667,0.3842,1.544,231,254,251.2969
"40",6,135,56.3633,0.0805,749.2582,0.0265,6.4545197518535,165,241,208.1563
"41",5,97,21.7852,0.0391,227.6583,0.0538,7.02738549763372,191,235,225.25
"42",2,19,2.2461,0.0017,4.1667,0.7647,0.5668,240,249,248.418
"43",3,135,41.9063,0.079,690.3291,0.0259,6.69787806186023,167,239,213.7188
"44",9,147,34.7109,0.0557,390.6625,0.0402,6.36175992127128,174,239,223.8047
"45",5,216,67.8633,0.1121,1719.0831,0.0259,6.4579414825095,170,245,215.2891
"46",7,120,37.2461,0.0545,400.5667,0.0418,6.39962514913772,179,239,221.7539
"47",3,10,3.25,0.001,0.7708,0.7467,0.5507,244,248,246.9883
"48",5,151,23.0742,0.0395,366.2625,0.098,7.11250129240719,156,236,222.9531
"49",1,58,9.5625,0.0328,158.4333,0.0648,3.0717,224,250,245.9805
"50",3,57,7.3477,0.0147,67.3208,0.2262,2.11,217,252,247.5938
"51",9,141,48.4844,0.0798,701.4626,0.026,4.96626734529398,189,246,226.5469
"52",3,135,27.293,0.0681,659.5043,0.0403,3.94384199852959,185,250,235.8516
"53",5,199,24.082,0.046,377.0042,0.0601,4.68542351618323,170,247,234.7109
"54",4,46,8.6211,0.0117,25.6583,0.1656,2.1082,215,246,237.9766
"55",5,213,32.1258620338713,0.0781,701.7667,0.027,7.04892333654152,153,237,190.1406
"56",1,164,9.1016,0.0239,398.3125,0.4696,2.29256819683078,186,250,243.6953
"57",7,170,72.9219,0.1108,1265.1292,0.0201,7.29828618556962,143,237,193.1367
"58",5,199,90.0664,0.105,1170.2292,0.0201,7.3156663669357,151,235,187.7969
"59",3,12,3.4453,0.0011,0.5208,0.6727,0.6575,241,249,246.7813
"60",2,126,21.0586,0.0406,308.3583,0.0684,6.56945088974645,174,240,227.5859
"61",1,162,19.5078,0.0475,646.5125,0.2263,2.83057254600593,198,253,244.3008
"62",5,122,21.7578,0.0352,217.4709,0.0659,3.49505985157912,205,246,238.5742
"63",5,169,60.9102,0.0964,1006.0501,0.022,7.05360833557199,155,237,202.3008
"64",7,134,45.6914,0.0808,752.5624,0.0286,5.68835008408518,171,245,220.9219
"65",1,4,1.2266,0.0011,0.3458,0.6255,0.6486,250,252,251.5586
"66",4,93,19.9805,0.0235,93.7375,0.1048,8.166,184,239,228.0781
"67",6,164,78.375,0.061,405.325,0.031,7.34236350240236,131,236,180.3594
"68",2,31,3.2344,0.0029,5.5583,0.5087,0.9464,234,253,250.5547
"69",10,161,60.4297,0.0745,589.8209,0.0266,5.97868170795656,170,243,213.9102
"70",4,115,23.5625,0.0481,334.6917,0.046,6.42250430475294,178,240,228.1953
"71",3,108,21.3086,0.0616,496.3333,0.0354,3.58991900272466,197,250,239.7617
"72",7,200,57.082,0.1108,1404.3376,0.0211,5.98762703378599,172,246,221.125
"73",4,94,17.5625,0.0357,212,0.0617,7.02150293720444,186,234,226.668
"74",5,205,84.6445,0.1056,1245.9875,0.0221,6.95679250475736,159,239,198.4531
"75",2,5,3.0039,6e-04,0.1792,0.7368,0.4623,247,249,248.0234
"76",6,181,73.2891,0.0972,1046.5958,0.0217,7.15188732358444,152,234,194.8008
"77",3,37,6.1211,0.0112,28.5292,0.1862,2.0815,235,253,250.4141
"78",5,23,7.0664,0.0062,8.1,0.2775,1.677,234,245,243.4844
"79",5,170,33.3945,0.063,663.4084,0.0471,7.22656385201326,161,236,218.9219
"80",2,19,3.2383,0.0028,3.3625,0.4943,1.0711,239,249,247.0039
"81",5,205,99.9414,0.1065,1388.9626,0.0221,7.64779125000102,152,236,186.0313
"82",7,166,79.1953,0.0908,832.1459,0.0232,7.26527680406088,129,236,184.6719
"83",4,144,28.6445,0.0533,383.5667,0.0395,7.08175343931358,163,234,220.2539
"84",2,83,5.5898,0.0117,60.2958,0.3911,1.6752,210,253,249.6172
"85",2,3,2.0039,0,0.0042,0.9917,0.027,247,250,248.3203
"86",3,111,17.8164,0.0331,167.1458,0.0639,3.0648,186,241,232.7109
"87",4,24,5.332,0.0037,4.3083,0.3931,1.2993,235,247,245.4297
"88",3,52,13.3203,0.0209,65.2042,0.0938,2.6676,215,247,239.6445
"89",6,158,54.6758,0.0455,261.1667,0.0462,7.230416109767,135,237,200.1289
"90",3,169,57.9648,0.0844,802.8417,0.0263,6.90912535719983,153,237,203.0938
"91",11,158,47.8906,0.0711,541.6167,0.0274,6.1911470397869,164,242,220.3672
"92",5,116,57.4102,0.0376,142.475,0.0491,3.1488,173,243,202.9336
"93",10,163,67.668,0.1012,1031.3042,0.0204,5.93951733218134,169,245,212.0195
"94",9,149,52.8516,0.069,545.2167,0.0307,6.78441414774645,160,236,207.9727
"95",11,153,68.3281,0.0682,483.3875,0.0291,6.06112103649863,168,243,209.9297
"96",4,146,23.6484,0.0569,513.575,0.0432,4.00173361291816,185,250,237.8672
"97",12,186,114.2969,0.0904,843.9,0.0223,7.4484913026701,122,231,169.7031
"98",4,139,41.207,0.0755,641.1833,0.0262,3.97163727383591,194,251,232.6094
"99",5,118,35.6602,0.0539,355.0542,0.0385,6.78313402301589,174,237,219.3516
"100",1,66,9.3008,0.0309,145.0542,0.074,2.9974,225,250,244.6641
"101",4,197,77.4805,0.089,874.4709,0.0243,6.86417214500565,155,239,197.2773
"102",2,88,10.9102,0.027,130.075,0.0887,2.8226,214,252,244.0508
"103",4,61,10.457,0.0166,46.9792,0.1185,7.3728,198,234,230.6445
"104",2,28,3.7188,0.0023,3.8917,0.505124335259949,0.8424,237,247,245.6055
